,leiden
D1046.2,0
cfim-2,0
D1046.18,2
slc-25A26,1
D1046.4,5
tpra-1,3
C53B4.2,11
C53B4.1,6
C53B4.3,0
C53B4.4,0
col-119,6
nstp-1,0
bre-1,7
mltn-12,3
C53D6.8,1
unc-129,7
C53D6.11,3
acc-2,5
C53D6.4,1
C53D6.6,0
C53D6.7,5
Y73F4A.3,10
Y73F4A.2,3
Y73F4A.1,1
nhr-11,1
mppb-1,0
mans-4,1
twk-8,7
msa-1,4
lpl-1,0
icln-1,0
C01F6.9,0
cpna-3,1
C01F6.2,5
C01F6.14,0
fem-3,1
aly-1,4
nrfl-1,0
delm-1,12
daf-10,8
flp-1,8
rpb-12,0
aly-2,0
F23B2.7,5
F23B2.10,5
pcp-3,3
pcp-2,6
C07C7.1,3
C46C2.7,1
wnk-1,4
C46C2.6,2
C46C2.2,4
C46C2.3,5
Y11D7A.3,4
rab-28,8
Y11D7A.5,3
Y11D7A.7,2
Y11D7A.8,6
Y11D7A.9,3
Y11D7A.10,0
col-120,2
flh-1,4
Y11D7A.19,1
flh-3,0
hum-9,7
nhr-264,12
F49C12.1,11
F49C12.2,2
F49C12.3,9
F49C12.4,2
F49C12.5,2
F49C12.6,3
F49C12.7,10
F49C12.9,4
rpn-7,0
F49C12.10,8
F49C12.11,4
F49C12.12,0
vha-17,7
F49C12.14,2
F49C12.15,9
T20D3.2,1
T20D3.3,0
T20D3.5,1
T20D3.6,4
vps-26,0
T20D3.8,0
pezo-1,7
C10C5.2,2
C10C5.3,1
C10C5.4,1
C10C5.5,1
C10C5.7,9
daf-15,4
col-121,0
F56D5.2,6
